price,model,exterior_color,interior_color,number_of_keys,year,miles,make,highway_mpg,city_mpg,car_type,number_of_doors,type_of_transmission,number_of_gears
17990,CR-V,White,Beige,1,2014,26911,HONDA,31,23,SUV,4,Auto,5
18990,370Z,Red,Black,1,2011,80973,NISSAN,26,19,Coupe,2,Auto,7
22990,XJ,Red,Beige,1,2013,64436,JAGUAR,27,18,Sedan,4,Auto,8
18990,CAMARO,Black,Black,1,2012,37678,CHEVROLET,29,18,Coupe,2,Auto,6
17990,3 SERIES,Black,Black,1,2014,48136,BMW,35,23,Sedan,4,Auto,8
14990,ATS,White,Beige,1,2013,81636,CADILLAC,33,22,Sedan,4,Auto,6
18590,COROLLA,Blue,Black,1,2018,21927,TOYOTA,36,28,Sedan,4,Auto,CVT
23990,GENESIS,White,Black,1,2015,771617,HYUNDAI,23,15,Sedan,4,Auto,8
21990,ENVISION,White,Ebony,1,2018,35530,BUICK,29,22,SUV,4,Auto,6
18990,HR-V,Black,Black,1,2018,56069,HONDA,34,28,SUV,4,Auto,CVT
31990,TAHOE,Black,Cocoa/Dune,1,2015,68997,CHEVROLET,23,16,SUV,4,Auto,6
12590,IMPREZA,Gray,Black,1,2013,96409,SUBARU,36,27,Sedan,4,Auto,CVT
11990,TOWN & COUNTRY,Red,Beige,1,2013,80215,CHRYSLER,25,17,Minivan,4,Auto,6
13990,FIT,Silver,Black,1,2015,53002,HONDA,37,29,Hatchback,4,Manual,6
28990,PASSPORT,Gray,Black,1,2019,14716,HONDA,24,19,SUV,4,Auto,9
19990,ILX,White,Blue,1,2018,23779,ACURA,35,25,Sedan,4,Auto,8
15990,HARDTOP 2 DOOR,Red,Black Leatherette,1,2015,53538,MINI,33,26,Hatchback,2,Auto,6
21990,CX-3,Brown,Black,2,2019,12738,MAZDA,32,27,SUV,4,Auto,6
18990,FIESTA,Black,Charcoal Black/Contrast Sti,1,2018,17868,FORD,33,26,Hatchback,4,Manual,6
14990,MAZDA6,Black,Black,1,2016,49840,MAZDA,38,26,Sedan,4,Auto,6
11990,PRIUS C,Blue,Black,2,2013,76439,TOYOTA,46,53,Hatchback,4,Auto,CVT
9990,FUSION,Silver,Med Lt Stone Cloth Seats,1,2011,95096,FORD,28,20,Sedan,4,Auto,6
21990,ACADIA,Gray,Jet Black,1,2018,30189,GMC,26,21,SUV,4,Auto,6
20990,WRANGLER,White,Black,1,2012,87129,JEEP,21,17,SUV,2,Manual,6
12990,ENCORE,Silver,Black,1,2014,73187,BUICK,33,25,SUV,4,Auto,6
33590,PILOT,Black,Black,1,2019,11188,HONDA,27,19,SUV,4,Auto,6
32990,SILVERADO 1500 CREW CAB,Gray,Black,2,2017,33831,CHEVROLET,23,16,Truck,4,Auto,6
34990,PANAMERA,Black,Black,1,2011,23150,PORSCHE,24,16,Sedan,4,Auto,CVT
22990,RX,Silver,Black,1,2014,57342,LEXUS,25,18,SUV,4,Auto,6
14990,YARIS,White,Mid Blue Black,1,2019,13054,TOYOTA,40,32,Sedan,4,Auto,6
17990,LEGACY,Red,Black,2,2018,36897,SUBARU,34,25,Sedan,4,Auto,CVT
11990,PASSAT,Silver,Titan Black,1,2015,86889,VOLKSWAGEN,36,24,Sedan,4,Auto,6
16590,ACCORD,Gray,Gray,1,2016,33515,HONDA,37,27,Sedan,4,Auto,CVT
11990,VERSA,Black,Charcoal,2,2016,58283,NISSAN,40,31,Sedan,4,Auto,CVT
16990,3 SERIES,Gray,Beige,1,2013,61731,BMW,33,23,Sedan,4,Auto,8
46590,CORVETTE,White,Red,2,2014,| 12958,CHEVROLET,28,16,Coupe,2,Auto,6
37990,PALISADE,Gray,Gray,2,2020,| 12631,HYUNDAI,26,19,SUV,4,Auto,8
36590,TUNDRA DOUBLE CAB,Silver,Gray,2,2014,| 27228,TOYOTA,17,13,Truck,4,Auto,6
41590,X5,Silver,Gray,2,2018,| 41956,BMW,24,18,SUV,4,Auto,8
38590,Q7,White,Nougat Brown,2,2018,| 27240,AUDI,25,19,SUV,4,Auto,8
51990,YUKON XL,Black,Jet Black,2,2019,| 58424,GMC,20,14,SUV,4,Auto,10
55990,1500 CREW CAB,Silver,Black Interior Color,2,2020,9387,RAM,22,17,Truck,4,Auto,8
38990,GX,Blue,Noble Brown,2,2017,| 22248,LEXUS,18,15,SUV,4,Auto,6
35990,1500 CREW CAB,White,Black,2,2019,| 17527,RAM,21,15,Truck,4,Auto,8
35990,1500 CREW CAB,Black,Black Interior Color,2,2019,16894,RAM,21,15,Truck,4,Auto,8
14590,JETTA SPORTWAGEN,White,Black,1,2014,| 69441,VOLKSWAGEN,39,29,Wagon,4,Manual,6
21990,ACCORD,Black,Black,2,2018,| 28952,HONDA,35,29,Sedan,4,Auto,CVT
10590,CRUZE,Gray,Gray,1,2011,| 88870,CHEVROLET,36,24,Sedan,4,Auto,6
20990,CAMRY HYBRID,Black,Black,2,2018,| 34384,TOYOTA,53,51,Sedan,4,Auto,CVT
18590,A3,Black,Black,2,2016,| 48609,AUDI,33,23,Sedan,4,Auto,6
18990,ROGUE SPORT,Black,Charcoal,1,2017,| 31433,NISSAN,32,25,SUV,4,Auto,CVT
28990,86,Black,Black,1,2019,| 10723,TOYOTA,28,21,Coupe,2,Manual,6
20590,ODYSSEY,Blue,Gray,1,2014,| 55466,HONDA,28,19,Minivan,4,Auto,6
21990,MX-5 MIATA,Gray,Black,2,2016,| 16614,MAZDA,36,27,Convertible,2,Auto,6
14590,ACCORD,White,Tan,1,2014,| 83174,HONDA,36,27,Sedan,4,Auto,CVT
20590,JX,White,Black,1,2013,| 60870,INFINITI,23,18,SUV,4,Auto,CVT
24990,CLA,Black,Black Mb-Tex,1,2018,| 49345,MERCEDES-BENZ,37,24,Coupe,4,Auto,7
13590,ACCENT,Red,Black,2,2019,| 39075,HYUNDAI,38,28,Sedan,4,Auto,6
